"Tên file","Chương","Mục","Tên bảng","Tệp nguồn","Dòng nguồn","Số hàng dữ liệu","Số cột"
"chuong_3_bang_01_3-4-so-sanh-dinh-huong-giai-phap.csv","Chương 3","3.4","So sánh định hướng giải pháp","Chuong_3.md","48-59","10","4"
"chuong_3_bang_02_3-5-xac-dinh-tac-nhan-cua-he-thong.csv","Chương 3","3.5","Xác định tác nhân của hệ thống","Chuong_3.md","67-73","5","2"
"chuong_3_bang_03_3-6-1-xac-thuc-va-tai-khoan.csv","Chương 3","3.6.1","Xác thực và tài khoản","Chuong_3.md","81-87","5","2"
"chuong_3_bang_04_3-6-2-quan-ly-to-chuc-va-chinh-sach.csv","Chương 3","3.6.2","Quản lý tổ chức và chính sách","Chuong_3.md","91-97","5","2"
"chuong_3_bang_05_3-6-3-quan-ly-ky-thi.csv","Chương 3","3.6.3","Quản lý kỳ thi","Chuong_3.md","101-109","7","2"
"chuong_3_bang_06_3-6-4-tham-gia-va-giam-sat-phien-thi.csv","Chương 3","3.6.4","Tham gia và giám sát phiên thi","Chuong_3.md","113-123","9","2"
"chuong_3_bang_07_3-6-5-bang-dieu-khien-bang-chung-va-bao-cao.csv","Chương 3","3.6.5","Bảng điều khiển, bằng chứng và báo cáo","Chuong_3.md","127-136","8","2"
"chuong_3_bang_08_3-7-yeu-cau-phi-chuc-nang.csv","Chương 3","3.7","Yêu cầu phi chức năng","Chuong_3.md","140-156","15","3"
"chuong_3_bang_09_3-9-tieu-chi-nghiem-thu-va-truy-vet.csv","Chương 3","3.9","Tiêu chí nghiệm thu và truy vết","Chuong_3.md","174-181","6","4"
"chuong_4_bang_01_4-2-2-1-danh-muc-tac-nhan-va-ca-su-dung.csv","Chương 4","4.2.2.1","Danh mục tác nhân và ca sử dụng","Chuong_4.md","63-74","10","5"
"chuong_4_bang_02_4-2-2-2-uc-03-tao-va-cau-hinh-ky-thi.csv","Chương 4","4.2.2.2","UC-03 – Tạo và cấu hình kỳ thi","Chuong_4.md","82-88","5","2"
"chuong_4_bang_03_4-2-2-2-uc-05-uc-06-tham-gia-va-khoi-tao-giam-sat.csv","Chương 4","4.2.2.2","UC-05/UC-06 – Tham gia và khởi tạo giám sát","Chuong_4.md","92-98","5","2"
"chuong_4_bang_04_4-2-2-2-uc-07-theo-doi-phien-thoi-gian-thuc.csv","Chương 4","4.2.2.2","UC-07 – Theo dõi phiên thời gian thực","Chuong_4.md","102-108","5","2"
"chuong_4_bang_05_4-2-2-2-uc-08-review-evidence.csv","Chương 4","4.2.2.2","UC-08 – Review evidence","Chuong_4.md","112-118","5","2"
"chuong_4_bang_06_4-2-2-2-uc-10-sinh-bao-cao.csv","Chương 4","4.2.2.2","UC-10 – Sinh báo cáo","Chuong_4.md","122-128","5","2"
"chuong_4_bang_07_4-3-2-giai-phap.csv","Chương 4","4.3.2","Giải pháp","Chuong_4.md","207-215","7","4"
"chuong_4_bang_08_4-6-2-2-tu-dien-luong-du-lieu.csv","Chương 4","4.6.2.2","Từ điển luồng dữ liệu","Chuong_4.md","400-419","18","5"
"chuong_4_bang_09_4-8-2-giai-phap-va-gia-tri-dong-gop.csv","Chương 4","4.8.2","Giải pháp và giá trị đóng góp","Chuong_4.md","493-500","6","2"
"chuong_5_bang_01_5-2-1-thanh-phan-cv-tren-may-tinh-de-ban.csv","Chương 5","5.2.1","Thành phần CV trên máy tính để bàn","Chuong_5.md","17-26","8","2"
"chuong_5_bang_02_5-2-2-nen-tang-web.csv","Chương 5","5.2.2","Nền tảng web","Chuong_5.md","32-40","7","2"
"chuong_5_bang_03_5-8-1-nguyen-tac-to-chuc-giao-dien.csv","Chương 5","5.8.1","Nguyên tắc tổ chức giao diện","Chuong_5.md","323-339","15","5"
"chuong_5_bang_04_5-10-2-docker-compose.csv","Chương 5","5.10.2","Docker Compose","Chuong_5.md","501-506","4","2"
"chuong_5_bang_05_5-10-2-docker-compose.csv","Chương 5","5.10.2","Docker Compose","Chuong_5.md","514-522","7","4"
